Date,Verb,C1,Infinitive,C2,Present tense,C3,Past tense,C4,Past participle,Percent
01/09/2021 20:58:40,"clean, polish",,å pusse,,pusser,,puset,,har puss,50
01/09/2021 20:59:05,to breathe,,å puste,,puster,,pustet,,har pustet,100
01/09/2021 20:59:27,ring,,å ringe,,ringer,,ringte,,har ring,75
01/09/2021 20:59:38,"call, shout",,å skrike,,roper,,ropte,,har ropt,75
01/09/2021 20:59:54,tidy,,å ridde,,rydder,,ryddet,,har rydd,50
01/09/2021 21:00:11,to realx,,å slape,,sapper,,slappet,,har slappt,25
01/09/2021 21:01:41,send,,å sende,,sender,,sente,,har sendt,75
01/09/2021 21:01:54,cut,,å sjære,,skjærer,,skjærte,,har skart,25
01/09/2021 21:02:16,understand,,å forstæ,,skjønner,,skjønnte,,har skjøtt,25
01/09/2021 21:03:02,to scare,,åd,,skremmer,,skremte,,har skremt,75
01/09/2021 21:03:21,"end, close",,å slutt,,slutter,,sluttet,,har slått,50
01/09/2021 21:03:40,smile,,å smile,,smiler,,smilte,,har smilt,100
01/09/2021 21:03:51,snow,,å snø,,snør,,snodde,,har snødd,75
01/09/2021 21:04:06,play,,å spile,,spiller,,spillte,,har spilt,50
01/09/2021 21:04:29,eat,,å spise,,spiser,,spiste,,har spist,100
01/09/2021 21:04:39,"roast, fry, bake",,å steke,,steker,,stekte,,har stekt,100
01/09/2021 21:04:54,"vote, agree",,å s,,stemmer,,stemmte,,har stemt,50
01/09/2021 21:05:08,study,,å studere,,studerer,,studerte,,har studert,100
01/09/2021 21:06:29,"answer, reply",,å svare,,svarer,,svarte,,har svart,100
01/09/2021 21:06:40,"think, intend",,å tenke,,tenker,,tenkte,,har tenkt,100
01/09/2021 21:06:53,need,,å trenge,,trenger,,trengte,,har trengt,100
01/09/2021 21:07:04,believe,,å trø,,tror,,trodde,,har trodd,75
01/09/2021 21:07:19,to print,,å trykke,,trykker,,trykket,,har trikket,75
01/09/2021 21:08:01,to joke ,,å j,,tuller,,tullte,,har tullt,25
01/09/2021 21:08:24,"wake, awaken",,å vake,,våkner,,våknet,,har våknt,50
01/09/2021 21:09:14,wash,,å vaske,,vasker,,vasket,,har vaskt,75
01/09/2021 21:09:31,"wait, expect",,å vente,,ventee,,ventet,,har ventet,75
01/09/2021 21:09:44,show,,å s,,viser,,viste,,har vist,75
01/10/2021 14:08:49,open,,å åpne,,åpner,,åpnet,,har åpnet,100
01/10/2021 14:12:42,open,,å åpne,,åpner,,åpnet,,har åpnet,100
01/10/2021 14:13:05,work,,å arbeide,,arbeider,,arbeidet,,har arbeidet,100
01/10/2021 14:13:37,to bake,,å bake,,baker,,bakte,,har bakt,100
01/10/2021 14:13:56,begin,,å begynne,,begynner,,begynnte,,har begynnt,50
01/10/2021 14:14:27,pay,,å betale,,betaler,,betalte,,har betalt,100
01/10/2021 14:14:47,"mean, signify",,å bety,,betyr,,betydde,,har betyd,75
01/10/2021 14:15:08,to move,,å bevegelse,,beveger,,beveget,,har bevegt,50
01/10/2021 14:15:40,"live, reside",,å bo,,bo,,bodde,,har bodd,75
01/10/2021 14:16:27,use,,å bruke,,bruker,,brukte,,har brukt,100
01/10/2021 14:16:40,to cover,,å brytte,,dekker,,dekkte,,har dekt,25
01/10/2021 14:16:55,die,,å do,,dør,,døde,,har dødd,50
01/10/2021 14:18:00,shower,,å dusje,,dusjer,,dusjet,,har dusjt,75
01/10/2021 14:18:20,"be, feel",,å føle,,føler seg,,følte seg,,har følt seg,75
01/10/2021 14:18:46,explain,,å beklage,,forklarer,,forklarte,,har forklart,75
01/10/2021 14:19:04,marry,,å gifte,,gifter,,giftet,,har gift,75
01/10/2021 14:19:21,to hide,,å d,,gjemmer,,gjemte,,har gjemt,75
01/10/2021 14:21:45,look forward,,å glede seg,,gleder seg,,gledet seg,,har gledet seg,100
01/10/2021 14:22:12,forget,,å glemme,,glemmer,,glemmte,,har glemt,75
01/10/2021 14:22:30,"fetch, bring",,å bringe,,henter,,hentet,,har hent,50
01/10/2021 14:26:23,be called/named,,å hete,,heter,,hetet,,har hett,75
01/10/2021 14:26:54,greet,,å hilse,,hilser,,hilste,,har hilst,100
01/10/2021 14:27:13,jump,,å hoppe,,hopper,,hoppte,,har hopt,50
01/10/2021 14:27:26,hear,,å høre,,hører,,hørte,,har hørt,100
01/10/2021 14:28:00,cough,,å hoste,,hostet,,hostet,,har host,50
01/10/2021 14:28:28,remember,,å glemme,,husker,,husket,,har huskt,50
01/10/2021 14:28:46,cast,,å f,,kaster,,kastet,,har kastet,75
01/10/2021 14:29:00,"know (person, place)",,å kjenne,,kjenner,,kjennte,,har kjent,75
01/10/2021 14:29:19,purchase,,å kjøpe,,kjøper,,kjøpte,,har kjøpt,100
01/10/2021 14:29:38,cook,,å koke,,koker,,kokte,,har kokt,100
01/10/2021 14:29:52,"cost, sweep",,å koste,,koster,,kostet,,har kostet,100
01/10/2021 14:31:09,"make, create",,å lage,,lager,,laget,,har lagdt,75
01/10/2021 14:31:25,play,,å leke,,leker,,lekte,,har lekt,100
01/10/2021 14:31:37,"live, be alive",,å b o,,lever,,levde,,har levd,75
01/10/2021 14:34:04,like,,å like,,liker,,likte,,har likt,100
01/10/2021 14:34:15,listen,,å lytte,,lytter,,har lyttet,,har lytt,50
01/10/2021 14:37:11,to fix,,å fixe,,ordner,,ordnet,,har ordnet,75
01/10/2021 14:37:32,fit,,å fitte,,passer,,paset,,har past,25
01/10/2021 14:37:50,"try, attempt",,å df,,prøver,,prøvde,,har prøvd,75
01/10/2021 14:38:09,"clean, polish",,å rene,,pusser,,pustte,,har pust,25
01/10/2021 14:38:27,to breathe,,å puste,,puster,,pustet,,har pustet,100
01/10/2021 14:38:44,ring,,å ringe,,ringer,,ringte,,har ringt,100
01/10/2021 14:38:56,"call, shout",,å rope,,roper,,ropte,,har ropt,100
01/10/2021 14:39:09,tidy,,å ridde,,rydder,,ryddet,,har ryddet,75
01/10/2021 14:39:29,to realx,,å slape,,slapper,,slappet,,har slappet,75
01/10/2021 14:39:47,send,,å sende,,sender,,sente,,har sent,50
01/10/2021 14:40:00,cut,,å skjære,,skjærer,,skjærte,,har skjært,50
01/10/2021 14:40:23,understand,,å skjenne,,skjønner,,skjønnte,,har skjønt,50
01/10/2021 14:40:54,to scare,,å d,,skremmer,,skremmte,,har skremt,50
01/10/2021 14:41:32,"end, close",,å slutte,,slutter,,sluttet,,har sluttet,100
01/10/2021 14:41:57,smile,,å smile,,smiler,,smilte,,har smilt,100
01/10/2021 14:42:12,snow,,å snø,,snør,,snødde,,har snødd,100
01/10/2021 14:42:36,play,,å spile,,spiller,,spilte,,har spilt,75
01/10/2021 14:42:54,eat,,å spise,,spiser,,spiste,,har spist,100
01/10/2021 14:43:09,"roast, fry, bake",,å steke,,steker,,stekte,,har stekt,100
01/10/2021 14:43:24,"vote, agree",,å f,,stemmer,,har stemmte,,har stemte,25
01/10/2021 14:43:46,study,,å studere,,studerer,,studerte,,har studert,100
01/10/2021 14:44:04,"answer, reply",,å svare,,svarer,,svarte,,har svart,100
01/10/2021 14:44:21,"think, intend",,å tenke,,tenker,,tenkte,,har tenkt,100
01/10/2021 14:44:35,need,,å trenge,,trenger,,trengte,,har trengt,100
01/10/2021 14:44:47,believe,,å trø,,tror,,trodde,,har trodd,75
01/10/2021 14:44:59,to print,,å trikke,,trykker,,treykker,,har trykkt,25
01/10/2021 14:45:16,to joke ,,å tule,,tuller,,tullet,,har tullt,50
01/10/2021 14:45:35,"wake, awaken",,å vake,,våkner,,våknet,,har våknet,75
01/10/2021 14:46:03,wash,,å vaske,,vasker,,vasker,,har vasket,75
01/10/2021 14:46:15,"wait, expect",,å vente,,venter,,ventet,,har ventet,100
01/10/2021 14:46:27,show,,å vidse,,viser,,viste,,har vist,75
01/11/2021 18:26:06,open,,å åpne,,åpner,,åpnet,,har åpnet,100
01/11/2021 18:26:31,work,,å arbeide,,arbeider,,arbeidet,,har arbeidet,100
01/11/2021 18:28:06,to bake,,å bake,,baker,,bakte,,har bak,75
01/11/2021 18:38:35,open,,å åpne,,åpner,,åpnet,,har åpent,75
01/11/2021 18:39:46,work,,å arbeider,,arbeider,,arbeidet,,har arbeidet,75
01/11/2021 18:40:06,to bake,,å bake,,baker,,bakte,,har bakt,100
01/11/2021 18:40:17,begin,,å begynne,,begynner,,gegynnte,,har begynnt,50
