Date,Verb,C1,Infinitive,C2,PresentTense,C3,PastTense,C4,PastParticiple,Ending,Irregular,Percent,
08/01/2021 00:00,look forward,,å la,,gleder seg,,gledte seg,,har gledet seg,et,,50,
08/01/2021 00:00,forget,,å for,,glemmer,,glemmte,,har glemmte,te,,25,
08/01/2021 00:00,have,,å h,,har,,hadde,,har hatt,,Y,75,
08/01/2021 00:00,"fetch, bring",,å bringe,,henter,,hentet,,har hentet,et,,75,
08/01/2021 00:00,be called/named,,å heter,,heter,,heter,,har hett,te,,50,
08/01/2021 00:00,greet,,å gratulere,,hilser,,hilste,,har hilste,te,,50,
08/01/2021 00:00,help,,å hjelp,,hjelper,,hjelpte,,har hjelp,,Y,25,
08/01/2021 00:00,jump,,å jumpe,,hopper,,hoppet,,har hoppt,et,,50,
08/01/2021 00:00,hear,,å høre,,høorer,,har hørte,,har hørte,te,,25,
08/01/2021 00:00,cough,,å h,,hoster,,hostet,,har hostt,et,,50,
08/01/2021 00:00,remember,,å glemme,,husker,,husket,,har husket,et,,75,
08/01/2021 00:00,cast,,[,,kaster,,kaste,,har kastet,,,50,
08/01/2021 00:00,"know (person, place)",,å kjenne,,kjenner,,kjennte,,har kjent,te,,75,
08/01/2021 00:00,purchase,,å kjøpe,,kjøper,,kjøpte,,har kjæopy,te,,75,
08/01/2021 00:00,cook,,å lage,,koker,,kokte,,har kokte,te,,50,
08/01/2021 00:00,come,,å kame,,kommer,,komt,,har kom,,Y,25,
08/01/2021 00:00,"cost, sweep",,å koste,,koster,,koste,,har kostet,et,,75,
08/01/2021 00:00,can/be able to,,å kunne@,,kunner,,kude,,har kanne,,Y,0,
08/01/2021 00:00,"make, create",,å lage,,lager,,lagte,,har laget,et,,75,
08/01/2021 00:00,laugh,,å lå,,ler,,lete,,har latt,,Y,25,
08/01/2021 00:00,lay/put,,å ligge,,legger,,legte,,har latt,,Y,25,
08/01/2021 00:00,play,,å leke,,leker,,lekte,,har lekt,te,,100,
08/01/2021 00:00,"live, be alive",,å liv,,lever,,levd,,har levd,de,,50,
08/01/2021 00:00,lie,,å le,,ligger,,liggte,,har latt,,Y,25,
08/01/2021 00:00,like,,å like,,liker,,likte,,har likt,te,,100,
08/01/2021 00:00,listen,,å lytte,,lytter,,lyttet,,har lytt,et,,75,
08/01/2021 00:00,must/have to,,å må,,matte,,minne,,mas,,Y,0,
08/01/2021 00:00,enjoy,,å o,,nyter,,nytte,,har not,,Y,25,
08/01/2021 00:00,to fix,,xdsf,,ordner,,ordnet,,har ordnet,et,,75,
08/01/2021 00:00,exaggerate,,å oversl,,overdriver,,overdrivte@,,har overdrevt,,Y,25,
08/01/2021 00:00,fit,,å fit,,passer,,passte,,har passet,et,,50,
08/01/2021 00:00,"try, attempt",,å try,,prøver,,provde,,har prøv,de,,25,
08/01/2021 00:00,"clean, polish",,å rene,,pusser,,puste,,har pusst,et,,25,
08/01/2021 00:00,to breathe,,å pulse,,puster,,pustet,,har pustet,et,,75,
08/01/2021 00:00,reach,,å r,,rekker,,rekket,,har rakte,,Y,25,
08/01/2021 00:00,ride,,å ridde,,ridder,,ride3,,har rød,,Y,0,
08/01/2021 00:00,ring,,å ringe,,ringer,,ringte,,har ringt,te,,100,
08/01/2021 00:00,"call, shout",,å l,,roper,,ropte,,har ropt,te,,75,
08/01/2021 00:00,tidy,,å rydde,,rydder,,ryddte,,har rydd,et,,50,
08/01/2021 00:00,to realx,,å slape ,,sapper,,slappte,,har slappet,et,,25,
08/01/2021 00:00,see,,å se,,ser,,sor,,s,,Y,50,
08/01/2021 00:00,sell,,å selge,,selger,,sølgte,,har sølgt,,Y,50,
08/01/2021 00:00,send,,å senne,,sender,,sente,,har sent,te,,25,
08/01/2021 00:00,set/put/place,,å selle,,setter,,sett,,har satt,,Y,50,
08/01/2021 00:00,"say, tell",,å si,,sir,,sir,,har sa,,Y,25,
08/01/2021 00:00,sit,,å sitte,,sitter,,satt,,har satt,,Y,75,
08/01/2021 00:00,cut,,å skjære,,skjærer,,skjærte,,har skjærte,te,Y,50,
08/01/2021 00:00,understand,,å forstå,,skjonner,,skjønnte,,har skjøbt,,Y,25,
08/01/2021 00:00,to scare,,å s,,skremmer,,skremmte,,har skremt,te,,50,
08/01/2021 00:00,write,,å skrive,,skriver,,skrevte,,har skrevte,,Y,50,
08/01/2021 00:00,"should, shall",,å skulle,,må,,må,,",å",,Y,25,
08/01/2021 00:00,"hit, strike",,å slå,,slår,,slårr,,har slott,,Y,50,
08/01/2021 00:00,drop,,dv,,slipper,,slipte,,har slapp,,Y,25,
08/01/2021 00:00,"end, close",,å slutt,,slutter,,slut,,har slut,et,,25,
08/01/2021 00:00,smile,,å smile,,smiler,,smilte,,har s milt,te,,75,
08/01/2021 00:00,sneak,,å s,,sniker,,snikte,,har snet,,,25,
08/01/2021 00:00,snow,,å snø,,snør,,snør,,har sudde,dde,,50,
08/01/2021 00:00,sleep,,å sove,,sover,,sovte,,har sov,,Y,50,
08/01/2021 00:00,play,,å spille,,har spilt,,har spilt,,har spilt,te,,50,
08/01/2021 00:00,eat,,å spise,,spiser,,spiste,,har spist,te,,100,
08/01/2021 00:00,ask,,å spørre,,spørrer,,spørte,,har spurt,,Y,50,
08/01/2021 00:00,"stand, stand up",,å stande,,står,,studd,,har stud,,Y,25,
08/01/2021 00:00,"roast, fry, bake",,å steke,,steker,,stekte,,har stekt,te,,100,
08/01/2021 00:00,"vote, agree",,å s,,stemmer,,stemmte,,gar stemt,te,,25,
08/01/2021 00:00,steal,,å s,,stjele,,stjeler,,har stjal,,Y,0,
08/01/2021 00:00,stroke,,å røyke,,strykker,,struket,,har struket,,Y,0,
08/01/2021 00:00,study,,å la,,studerer,,studerte,,har studert,te,,75,
